Name;Time;X;Y
BadJoe;65;6,0;-2,0
counter1;66;10,0;10,0
DLH123;66;20,0;20,0
jim;66;-193,7269976569828;233,4609888853268
johnMclain;66;-451,0976502489994;455,0831109828726
LuckyLuke;66;-474,70426712688715;478,58591333152276
soc;66;-50,0;-50,0
BadJoe;66;6,0;-2,0
counter1;67;10,0;10,0
DLH123;67;20,0;20,0
jim;67;-197,26032931075312;236,99872367251263
johnMclain;67;-458,1686056006616;462,1542912531528
LuckyLuke;67;-481,77446429714803;485,6578516778062
soc;67;-50,0;-50,0
BadJoe;67;6,0;-2,0
counter1;68;10,0;10,0
DLH123;68;20,0;20,0
jim;68;-200,79373270490308;240,53638680715525
johnMclain;68;-465,2395643788033;469,22546809706074
LuckyLuke;68;-488,8446867146088;492,72976478301575
soc;68;-50,0;-50,0
BadJoe;68;6,0;-2,0
counter1;69;10,0;10,0
DLH123;69;20,0;20,0
jim;69;-204,3272043897754;244,07398173198845
johnMclain;69;-472,3105264291752;476,296641668838
LuckyLuke;69;-495,9149332967522;499,8016537292373
soc;69;-50,0;-50,0
BadJoe;69;6,0;-2,0
counter1;70;10,0;10,0
DLH123;70;20,0;20,0
jim;70;-207,860741133414;247,61151167268946
johnMclain;70;-479,3814916066494;483,36781211360505
LuckyLuke;70;-502,9852030220764;506,873519537577
soc;70;-50,0;-50,0
BadJoe;70;6,0;-2,0
counter1;71;10,0;10,0
DLH123;71;20,0;20,0
jim;71;-211,39433990465585;251,14897965471815
johnMclain;71;-486,45245977455517;490,43897956802607
LuckyLuke;71;-510,05549492585584;513,9453631723975
soc;71;-50,0;-50,0
BadJoe;71;6,0;-2,0
counter1;72;10,0;10,0
DLH123;72;20,0;20,0
jim;72;-214,92799785777473;254,6863885186127
johnMclain;72;-493,52343080407184;497,5101441609157
LuckyLuke;72;-517,1258080962507;521,017185545205
soc;72;-50,0;-50,0
BadJoe;72;6,0;-2,0
counter1;73;10,0;10,0
DLH123;73;20,0;20,0
jim;73;-218,46171231851315;258,22374093390414
johnMclain;73;-500,59440457367305;504,58130601379474
LuckyLuke;73;-524,1961416707317;528,0889875182221
soc;73;-50,0;-50,0
BadJoe;73;6,0;-2,0
counter1;74;10,0;10,0
DLH123;74;20,0;20,0
jim;74;-221,9954807713582;261,7610394117933
johnMclain;74;-507,66538096861757;511,65246524139934
LuckyLuke;74;-531,2664948327913;535,1607699076734
soc;74;-50,0;-50,0
BadJoe;74;6,0;-2,0
counter1;75;10,0;10,0
DLH123;75;20,0;20,0
jim;75;-225,52930084793394;265,2982863167167
johnMclain;75;-514,7363598804825;518,7236219521477
LuckyLuke;75;-538,3368668089147;542,2325334868133
soc;75;-50,0;-50,0
BadJoe;75;6,0;-2,0
counter1;76;10,0;10,0
DLH123;76;20,0;20,0
jim;76;-229,06317031639787;268,835483876913
johnMclain;76;-521,8073412067341;525,7947762485693
LuckyLuke;76;-545,4072568657867;549,3042789887163
soc;76;-50,0;-50,0
BadJoe;76;6,0;-2,0
counter1;77;10,0;10,0
DLH123;77;20,0;20,0
